agent_type,bucket,episodes,average_reward,win_rate,loss_rate,push_rate,stand_rate,hit_rate,stand_actions,hit_actions,comparison_id,aggregation,wins,losses,pushes,reward_sum
baseline,<= -3,827042,-0.02803508384276615,0.43641204156248864,0.46444712540525485,0.0991408330322565,0.5375975654790787,0.4624024345209213,671081,577372,baseline (all seeds),mean,,,,
baseline,-2 to 0,5726655,-0.048478049613738396,0.4281383813371023,0.4766164309508407,0.09524518771205696,0.5242171350494184,0.4757828649505817,4624597,4197538,baseline (all seeds),mean,,,,
baseline,1 to 2,1653200,-0.06666558233561247,0.42270791975379646,0.48937350208940894,0.08791857815679462,0.5053173172264483,0.4946826827735517,1361681,1333048,baseline (all seeds),mean,,,,
baseline,>= 3,793103,-0.06711630999464947,0.42299666014881393,0.4901129701434634,0.08689036970772267,0.5064041395910891,0.49359586040891085,655755,639241,baseline (all seeds),mean,,,,
counting,<= -3,832380,-0.03165336690790035,0.43322064455428827,0.46487401146218854,0.1019053439835232,0.5137645598917985,0.48623544010820147,654589,619474,counting (all seeds),mean,,,,
counting,-2 to 0,5723649,-0.046405750067083786,0.4289614135891207,0.47536716365620446,0.09567142275467477,0.521947747376169,0.47805225262383105,4619635,4231161,counting (all seeds),mean,,,,
counting,1 to 2,1649725,-0.06374318914981408,0.4245483534761503,0.48829154262596436,0.08716010389788535,0.5214511407816586,0.4785488592183414,1387949,1273749,counting (all seeds),mean,,,,
counting,>= 3,794246,-0.06364206029322268,0.42666828966723164,0.49031034996045425,0.08302136037231406,0.554146817281489,0.44585318271851104,691311,556234,counting (all seeds),mean,,,,
baseline,<= -3,827042,-0.02871262309758281,0.43538048343777974,0.46409310653536257,0.09847140762463343,0.5371829781920693,0.4628170218079308,671081,577372,baseline (all seeds),median,,,,
baseline,-2 to 0,5726655,-0.04822982196078842,0.42787363838982073,0.47671238625841666,0.09486956794709471,0.5248980047492842,0.47510199525071584,4624597,4197538,baseline (all seeds),median,,,,
baseline,1 to 2,1653200,-0.06761902868472468,0.42274680050823166,0.4896523171258848,0.08766872967358082,0.5043199240199314,0.4956800759800685,1361681,1333048,baseline (all seeds),median,,,,
baseline,>= 3,793103,-0.06687474972024805,0.4234527565390848,0.4900335316880148,0.08621973720158232,0.5043668324488529,0.49563316755114706,655755,639241,baseline (all seeds),median,,,,
counting,<= -3,832380,-0.032347903683127274,0.4329833474862908,0.46527050995340025,0.1018952037867354,0.5137429426065345,0.4862570573934654,654589,619474,counting (all seeds),median,,,,
counting,-2 to 0,5723649,-0.0457477710587163,0.4291865052623519,0.4749342763210682,0.09572776445390317,0.5227132771647847,0.47728672283521534,4619635,4231161,counting (all seeds),median,,,,
counting,1 to 2,1649725,-0.06366904705069872,0.4245350233513305,0.4882040704020292,0.08726090624664035,0.5215384233092524,0.47846157669074757,1387949,1273749,counting (all seeds),median,,,,
counting,>= 3,794246,-0.06386614101315148,0.42676494763760353,0.4905978676503666,0.0829284568206697,0.553590961427749,0.446409038572251,691311,556234,counting (all seeds),median,,,,
baseline,<= -3,827042,-0.02805057058770897,0.43639984426425743,0.4644504148519664,0.09914974088377615,0.5375300471863979,0.4624699528136021,671081,577372,baseline (all seeds),weighted,360921.0,384120.0,82001.0,-23199.0
baseline,-2 to 0,5726655,-0.04847873671453929,0.42813789201549596,0.47661662873003524,0.0952454792544688,0.5242038350127265,0.4757961649872735,4624597,4197538,baseline (all seeds),weighted,2451798.0,2729419.0,545438.0,-277621.0
baseline,1 to 2,1653200,-0.06666283571255746,0.4227111057343334,0.4893739414468909,0.0879149528187757,0.5053127791328924,0.4946872208671076,1361681,1333048,baseline (all seeds),weighted,698826.0,809033.0,145341.0,-110207.0
baseline,>= 3,793103,-0.06711612489172276,0.422998021694534,0.4901141465862568,0.08688783171920923,0.5063760814705219,0.49362391852947807,655755,639241,baseline (all seeds),weighted,335481.0,388711.0,68911.0,-53230.0
counting,<= -3,832380,-0.03164059684278815,0.43322641101420023,0.46486700785698837,0.10190658112881136,0.5137807157102906,0.4862192842897094,654589,619474,counting (all seeds),weighted,360609.0,386946.0,84825.0,-26337.0
counting,-2 to 0,5723649,-0.046404837193895015,0.42896183885489836,0.47536667604879335,0.09567148509630832,0.5219457097418131,0.47805429025818696,4619635,4231161,counting (all seeds),weighted,2455227.0,2720832.0,547590.0,-265605.0
counting,1 to 2,1649725,-0.06374516964948704,0.4245477276515783,0.48829289730106534,0.08715937504735638,0.5214524713171818,0.47854752868281825,1387949,1273749,counting (all seeds),weighted,700387.0,805549.0,143789.0,-105162.0
counting,>= 3,794246,-0.06364275048284788,0.4266675563994027,0.4903103068822506,0.08302213671834671,0.554137125314117,0.4458628746858831,691311,556234,counting (all seeds),weighted,338879.0,389427.0,65940.0,-50548.0
