agent_name,agent_type,train_seed,source,comparison_id,bucket,episodes,wins,losses,pushes,reward_sum,stand_actions,hit_actions,average_reward,win_rate,loss_rate,push_rate,stand_rate,hit_rate
baseline-1,baseline,1,in_memory,baseline-1 | in_memory,<= -3,279250,121580,129598,28072,-8018.0,225773,198193,-0.02871262309758281,0.43538048343777974,0.46409310653536257,0.10052641002685765,0.532526193138129,0.467473806861871
baseline-1,baseline,1,in_memory,baseline-1 | in_memory,-2 to 0,1909130,816440,908517,184173,-92077.0,1538234,1419115,-0.04822982196078842,0.4276502909702325,0.47588011293102095,0.09646959609874654,0.5201394897930546,0.4798605102069455
baseline-1,baseline,1,in_memory,baseline-1 | in_memory,1 to 2,548287,230910,268470,48907,-37560.0,451954,446226,-0.06850426874976062,0.4211480483761242,0.4896523171258848,0.08919963449799101,0.5031886704224098,0.4968113295775902
baseline-1,baseline,1,in_memory,baseline-1 | in_memory,>= 3,263333,111033,129042,23258,-18009.0,217832,214060,-0.06838869416290401,0.4216448375251108,0.4900335316880148,0.08832163078687441,0.5043668324488529,0.49563316755114706
counting-1,counting,1,in_memory,counting-1 | in_memory,<= -3,277916,120333,129323,28260,-8990.0,218294,206615,-0.032347903683127274,0.4329833474862908,0.4653312511694181,0.10168540134429108,0.5137429426065345,0.4862570573934654
counting-1,counting,1,in_memory,counting-1 | in_memory,-2 to 0,1906847,818393,905627,182827,-87234.0,1537465,1419330,-0.0457477710587163,0.4291865052623519,0.4749342763210682,0.09587921841657983,0.5199768668439984,0.4800231331560017
counting-1,counting,1,in_memory,counting-1 | in_memory,1 to 2,548489,233010,267557,47922,-34547.0,461743,423605,-0.06298576635082928,0.42482164637759373,0.487807412728423,0.08737094089398328,0.5215384233092524,0.47846157669074757
counting-1,counting,1,in_memory,counting-1 | in_memory,>= 3,266748,113761,130866,22121,-17105.0,231273,187212,-0.06412419212140297,0.42647367552896365,0.4905978676503666,0.0829284568206697,0.5526434639234381,0.4473565360765619
baseline-42,baseline,42,in_memory,baseline-42 | in_memory,<= -3,272800,119762,126175,26863,-6413.0,221596,186437,-0.02350806451612903,0.4390102639296188,0.4625183284457478,0.09847140762463343,0.543083525107038,0.4569164748929621
baseline-42,baseline,42,in_memory,baseline-42 | in_memory,-2 to 0,1911340,817812,912200,181328,-94388.0,1544146,1382513,-0.049383155273263785,0.42787363838982073,0.47725679366308454,0.09486956794709471,0.5276139106059161,0.47238608939408383
baseline-42,baseline,42,in_memory,baseline-42 | in_memory,1 to 2,553291,233902,271315,48074,-37413.0,455189,440071,-0.06761902868472468,0.42274680050823166,0.49036582919295635,0.08688737029881202,0.5084433572370037,0.4915566427629962
baseline-42,baseline,42,in_memory,baseline-42 | in_memory,>= 3,262569,111301,128653,22615,-17352.0,217569,208483,-0.06608548610079636,0.4238923863822462,0.48997787248304253,0.08612974113471125,0.5106630176598161,0.4893369823401838
counting-42,counting,42,in_memory,counting-42 | in_memory,<= -3,272319,117869,126702,27748,-8833.0,213893,203605,-0.03243622369353589,0.43283428625986436,0.46527050995340025,0.1018952037867354,0.5123210171066688,0.4876789828933312
counting-42,counting,42,in_memory,counting-42 | in_memory,-2 to 0,1910522,820579,907053,182890,-86474.0,1543242,1406644,-0.04526197552291991,0.42950513001158847,0.47476710553450835,0.09572776445390317,0.523153098119724,0.47684690188027606
counting-42,counting,42,in_memory,counting-42 | in_memory,1 to 2,552445,234396,270070,47979,-35674.0,464978,425075,-0.06457475404791427,0.4242883906995267,0.4888631447474409,0.08684846455303243,0.5224160808401297,0.47758391915987025
counting-42,counting,42,in_memory,counting-42 | in_memory,>= 3,264714,112971,129631,22112,-16660.0,230781,186099,-0.0629358477451136,0.42676624583512773,0.4897020935802413,0.08353166058463096,0.553590961427749,0.446409038572251
baseline-123,baseline,123,in_memory,baseline-123 | in_memory,<= -3,274992,119579,128347,27066,-8768.0,223712,192742,-0.031884563914586606,0.4348453773200675,0.4667299412346541,0.09842468144527841,0.5371829781920693,0.4628170218079308
baseline-123,baseline,123,in_memory,baseline-123 | in_memory,-2 to 0,1906185,817546,908702,179937,-91156.0,1542217,1395910,-0.047821171607162996,0.4288912146512537,0.47671238625841666,0.09439639909032964,0.5248980047492842,0.47510199525071584
baseline-123,baseline,123,in_memory,baseline-123 | in_memory,1 to 2,551622,234014,269248,48360,-35234.0,454538,446751,-0.06387344957235208,0.42422891037703353,0.4881023599493856,0.08766872967358082,0.5043199240199314,0.4956800759800685
baseline-123,baseline,123,in_memory,baseline-123 | in_memory,>= 3,267201,113147,131016,23038,-17869.0,220354,216698,-0.06687474972024805,0.4234527565390848,0.49032750625933286,0.08621973720158232,0.5041825686645982,0.49581743133540174
counting-123,counting,123,in_memory,counting-123 | in_memory,<= -3,282145,122407,130921,28817,-8514.0,222402,209254,-0.03017597334703787,0.4338442999167095,0.46402027326374734,0.10213542681954314,0.5152297199621921,0.48477028003780787
counting-123,counting,123,in_memory,counting-123 | in_memory,-2 to 0,1906280,816255,908152,181873,-91897.0,1538928,1405187,-0.048207503619615164,0.42819260549342175,0.47640010911303693,0.09540728539354135,0.5227132771647847,0.47728672283521534
counting-123,counting,123,in_memory,counting-123 | in_memory,1 to 2,548791,232981,267922,47888,-34941.0,461228,425069,-0.06366904705069872,0.4245350233513305,0.4882040704020292,0.08726090624664035,0.5203989181955936,0.4796010818044064
counting-123,counting,123,in_memory,counting-123 | in_memory,>= 3,262784,112147,128930,21707,-16783.0,229257,182923,-0.06386614101315148,0.42676494763760353,0.490631088650755,0.0826039637116415,0.5562060264932797,0.44379397350672034
