eval_run,win_rate,Win Rate 95% CI,loss_rate,Loss Rate 95% CI,push_rate,Push Rate 95% CI,average_reward,Avg Reward 95% CI
baseline-1__eval_seed_1234,0.426643,"[0.4257, 0.4276]",0.47856,"[0.4776, 0.4795]",0.094797,"[0.0942, 0.0954]",-0.051917,"[-0.0538, -0.0501]"
baseline-1__eval_seed_4321,0.426657,"[0.4257, 0.4276]",0.478505,"[0.4775, 0.4795]",0.094838,"[0.0943, 0.0954]",-0.051848,"[-0.0537, -0.0500]"
baseline-1__eval_seed_9876,0.426678,"[0.4257, 0.4276]",0.478546,"[0.4776, 0.4795]",0.094776,"[0.0942, 0.0954]",-0.051868,"[-0.0537, -0.0500]"
counting-1__eval_seed_1234,0.428452,"[0.4275, 0.4294]",0.477823,"[0.4768, 0.4788]",0.093725,"[0.0932, 0.0943]",-0.049371,"[-0.0512, -0.0475]"
counting-1__eval_seed_4321,0.428506,"[0.4275, 0.4295]",0.477801,"[0.4768, 0.4788]",0.093693,"[0.0931, 0.0943]",-0.049295,"[-0.0512, -0.0474]"
counting-1__eval_seed_9876,0.428423,"[0.4275, 0.4294]",0.477842,"[0.4769, 0.4788]",0.093735,"[0.0932, 0.0943]",-0.049419,"[-0.0513, -0.0476]"
baseline-42__eval_seed_1234,0.427596,"[0.4266, 0.4286]",0.47945,"[0.4785, 0.4804]",0.092954,"[0.0924, 0.0935]",-0.051854,"[-0.0537, -0.0500]"
baseline-42__eval_seed_4321,0.427577,"[0.4266, 0.4285]",0.479449,"[0.4785, 0.4804]",0.092974,"[0.0924, 0.0935]",-0.051872,"[-0.0537, -0.0500]"
baseline-42__eval_seed_9876,0.427579,"[0.4266, 0.4285]",0.479471,"[0.4785, 0.4805]",0.09295,"[0.0924, 0.0935]",-0.051892,"[-0.0538, -0.0500]"
counting-42__eval_seed_1234,0.428624,"[0.4277, 0.4296]",0.477791,"[0.4768, 0.4788]",0.093585,"[0.0930, 0.0942]",-0.049167,"[-0.0510, -0.0473]"
counting-42__eval_seed_4321,0.428596,"[0.4276, 0.4296]",0.477811,"[0.4768, 0.4788]",0.093593,"[0.0930, 0.0942]",-0.049215,"[-0.0511, -0.0474]"
counting-42__eval_seed_9876,0.428602,"[0.4276, 0.4296]",0.477853,"[0.4769, 0.4788]",0.093545,"[0.0930, 0.0941]",-0.049251,"[-0.0511, -0.0474]"
baseline-123__eval_seed_1234,0.428204,"[0.4272, 0.4292]",0.479052,"[0.4781, 0.4800]",0.092744,"[0.0922, 0.0933]",-0.050848,"[-0.0527, -0.0490]"
baseline-123__eval_seed_4321,0.428083,"[0.4271, 0.4291]",0.479083,"[0.4781, 0.4801]",0.092834,"[0.0923, 0.0934]",-0.051,"[-0.0529, -0.0491]"
baseline-123__eval_seed_9876,0.428146,"[0.4272, 0.4291]",0.479103,"[0.4781, 0.4801]",0.092751,"[0.0922, 0.0933]",-0.050957,"[-0.0528, -0.0491]"
counting-123__eval_seed_1234,0.427902,"[0.4269, 0.4289]",0.478641,"[0.4777, 0.4796]",0.093457,"[0.0929, 0.0940]",-0.050739,"[-0.0526, -0.0489]"
counting-123__eval_seed_4321,0.427916,"[0.4269, 0.4289]",0.47866,"[0.4777, 0.4796]",0.093424,"[0.0929, 0.0940]",-0.050744,"[-0.0526, -0.0489]"
counting-123__eval_seed_9876,0.427948,"[0.4270, 0.4289]",0.478654,"[0.4777, 0.4796]",0.093398,"[0.0928, 0.0940]",-0.050706,"[-0.0526, -0.0488]"
